asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
0143497421	Mahabharata, Vol. 2 (Part 1)			Bibek Debroy	Sumit Kaul	The Mahabharata	2	Literature & Fiction, Classics	384	False	1.3	4.6	18	2021-01-25T12:43:44.103Z	2020-09-29	https://m.media-amazon.com/images/I/51tPAGgChgL._SL500_.jpg	2021-01-25T12:43:44.103Z
014349743X	Mahabharata Vol 2 (Part 2)			Bibek Debroy	Sumit Kaul	The Mahabharata	2	Literature & Fiction, Classics, Literature & Fiction, Poetry, Themes & Styles, Epic	723	False	0.0	4.6	11	2021-01-26T14:42:11.950Z	2020-12-22	https://m.media-amazon.com/images/I/51tPAGgChgL._SL500_.jpg	2021-01-26T14:42:11.950Z
0143497456	Mahabharata Vol 3 (Part 2)			Bibek Debroy	Sumit Kaul	The Mahabharata	3	Literature & Fiction, Classics, Literature & Fiction, Poetry, Themes & Styles, Epic	408	False	0.0	4.7	7	2021-04-27T13:35:37.574Z	2020-12-09	https://m.media-amazon.com/images/I/51LxVTW7nJL._SL500_.jpg	2021-04-27T13:35:37.574Z
0143500023	The Mahabharata, Volume 1			Bibek Debroy - translator	Gaurav Marwa	The Mahabharata	1	Mystery, Thriller & Suspense, Mystery, Literature & Fiction, Classics	1197	False	0.5	4.3	45	2021-03-29T12:02:54.566Z	2019-07-30	https://m.media-amazon.com/images/I/51iJShu9IxL._SL500_.jpg	2021-03-29T12:02:54.566Z
1405951508	Why Has Nobody Told Me This Before?			Julie Smith	Julie Smith			Health & Wellness, Psychology & Mental Health, Psychology, Health & Wellness, Psychology & Mental Health, Mental Health, Parenting & Relationships, Self-Help, Emotions, Parenting & Relationships, Self-Help, Success	519	False	48.75	4.6	125	2023-04-16T19:13:48.325Z	2022-01-06	https://m.media-amazon.com/images/I/41ph5W1HlsL._SL500_.jpg	2023-04-16T19:13:48.325Z
1469078635	HBR's 10 Must Reads on Negotiation	HBR's 10 Must Reads Series		Harvard Business Review, Daniel Kahneman, Deepak Malhotra, Erin Meyer, Max H. Bazerman	Chloe Cannon, Brian Holden	HBR's 10 Must Reads series		Business & Careers, Management & Leadership, Management, Business & Careers, Management & Leadership, Negotiating, Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Conflict Resolution, Business & Careers, Personal Success, Decision-Making & Problem Solving	350	False	0.0	4.3	19	2025-03-17T03:06:24.000Z	2019-12-31	https://m.media-amazon.com/images/I/41nx+YhqIPL._SL500_.jpg	2025-03-17T03:06:24.000Z
1473575346	Never Split the Difference	Negotiating as if Your Life Depended on It		Chris Voss, Tahl Raz	Michael Kramer			Business & Careers, Management & Leadership, Negotiating, Business & Careers, Management & Leadership, Forecasting & Strategic Planning, Business & Careers, Personal Success, Meetings & Presentations, Health & Wellness, Psychology & Mental Health, Psychology, Parenting & Relationships, Self-Help, Communication & Social Skills, Parenting & Relationships, Relationships	487	False	0.0	4.7	1445	2023-06-21T07:58:12.666Z	2019-06-20	https://m.media-amazon.com/images/I/41lEyMZPx4L._SL500_.jpg	2023-06-21T07:58:12.666Z
1663710635	Empathy	HBR Emotional Intelligence Series		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series		Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Health & Wellness, Psychology & Mental Health, Psychology, Parenting & Relationships, Self-Help, Success	106	False	0.0	4.1	10	2025-03-17T03:04:08.000Z	2020-12-22	https://m.media-amazon.com/images/I/414Y6LGmQ5L._SL500_.jpg	2025-03-17T03:04:08.000Z
1663710651	Mindfulness	HBR Emotional Intelligence Series		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series		Business & Careers, Management & Leadership, Leadership, Business & Careers, Personal Success, Parenting & Relationships, Self-Help, Success	101	False	0.0	4.2	18	2025-03-17T03:04:10.000Z	2020-12-22	https://m.media-amazon.com/images/I/41nnuaiwpwL._SL500_.jpg	2025-03-17T03:04:10.000Z
1663710678	Happiness	HBR Emotional Intelligence Series		Harvard Business Review	Daniel Henning, Rachel Perry	HBR Emotional Intelligence Series		Business & Careers, Personal Success, Parenting & Relationships, Self-Help, Success	149	False	0.0	4.1	17	2025-03-17T03:04:06.000Z	2020-12-22	https://m.media-amazon.com/images/I/41ym4-raZQL._SL500_.jpg	2025-03-17T03:04:06.000Z
